what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730295117610
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1730295124853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295133796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1730295249175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295254697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1730295261835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295264125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295266902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295269897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295272799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295275262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295278006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295281049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295288816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295291325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295293929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295296659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295299984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295302369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295304926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295307550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295310337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295312988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730295320800
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295323564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295327128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295328439
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1730295328831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295328910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295330593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295332064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295337582
error,log,,,"The Nios II ELF executable does not exist. Please verify that the project lab3 built successfully.",1730295337598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295337661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295344719
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1730295354347
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295364504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295405811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295406443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295406957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295407411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295407788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295408070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295408353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295408619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295408901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295409418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295409795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295410124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295410422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295411960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295412807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295413121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295413418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295413780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295414549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295414847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295415302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295415914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295416683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295417248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295418157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295419256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295420170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295420715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295465367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295468551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295469872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295469879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295477160
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1730295477160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295481870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295488462
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295491301
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295494405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295503615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295504676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295518864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295520174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295520190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295523171
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1730295523171
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295525465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295542026
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295548662
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295564973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295569587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295570882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295570898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295632394
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1730295632410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295638892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295639896
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295643944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1730295659345
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730295661202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295665547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295667661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295667991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295671485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295677104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295678416
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1730295678824
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1730295680456
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730295680682
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1730295687914
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1730295696889
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730295704450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295742022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295742931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295776301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295776599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295776866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295777164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295777399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295777650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295777916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295778167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295778403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295778686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295778999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1730295779533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1730295788869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295793198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295908848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295950372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730295982032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730296010630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730296034802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730296039464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730296048060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730296059624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730296062370
